labid,sampleid,particlenumber,averagenumber
E,E_CW_1,1,240
E,E_CW_1,2,21.4
E,E_CW_1,3,25.8
E,E_CW_1,4,5
E,E_CW_1,5,36.5
E,E_CW_1,6,5
E,E_CW_1,7,64
E,E_CW_1,8,19.7
E,E_CW_1,9,120
E,E_CW_1,10,30.5
E,E_CW_1,11,18.8
E,E_CW_1,12,8
E,E_CW_1,13,20
E,E_CW_1,14,5
E,E_CW_1,15,8
E,E_CW_1,16,20
E,E_CW_1,17,20
E,E_CW_1,18,20
E,E_CW_1,19,20
E,E_CW_2,1,240
E,E_CW_2,2,21.4
E,E_CW_2,3,25.8
E,E_CW_2,4,5
E,E_CW_2,5,36.5
E,E_CW_2,6,5
E,E_CW_2,7,64
E,E_CW_2,8,19.7
E,E_CW_2,9,120
E,E_CW_2,10,30.5
E,E_CW_2,11,18.8
E,E_CW_2,12,8
E,E_CW_2,13,20
E,E_CW_2,14,5
E,E_CW_2,15,8
E,E_CW_2,16,20
E,E_CW_2,17,20
E,E_CW_2,18,20
E,E_CW_2,19,20
E,E_CW_3,1,240
E,E_CW_3,2,21.4
E,E_CW_3,3,25.8
E,E_CW_3,4,5
E,E_CW_3,5,36.5
E,E_CW_3,6,5
E,E_CW_3,7,64
E,E_CW_3,8,19.7
E,E_CW_3,9,120
E,E_CW_3,10,30.5
E,E_CW_3,11,18.8
E,E_CW_3,12,8
E,E_CW_3,13,20
E,E_CW_3,14,5
E,E_CW_3,15,8
E,E_CW_3,16,20
E,E_CW_3,17,20
E,E_CW_3,18,20
E,E_CW_3,19,20
A,A_CW_1,1,240
A,A_CW_1,2,21.4
A,A_CW_1,3,25.8
A,A_CW_1,4,5
A,A_CW_1,5,36.5
A,A_CW_1,6,5
A,A_CW_1,7,64
A,A_CW_1,8,19.7
A,A_CW_1,9,120
A,A_CW_1,10,30.5
A,A_CW_1,11,18.8
A,A_CW_1,12,8
A,A_CW_1,13,20
A,A_CW_1,14,5
A,A_CW_1,15,8
A,A_CW_1,16,20
A,A_CW_1,17,20
A,A_CW_1,18,20
A,A_CW_1,19,20
A,A_CW_2,1,240
A,A_CW_2,2,21.4
A,A_CW_2,3,25.8
A,A_CW_2,4,5
A,A_CW_2,5,36.5
A,A_CW_2,6,5
A,A_CW_2,7,64
A,A_CW_2,8,19.7
A,A_CW_2,9,120
A,A_CW_2,10,30.5
A,A_CW_2,11,18.8
A,A_CW_2,12,8
A,A_CW_2,13,20
A,A_CW_2,14,5
A,A_CW_2,15,8
A,A_CW_2,16,20
A,A_CW_2,17,21
A,A_CW_2,18,20
A,A_CW_2,19,20
A,A_CW_3,1,240
A,A_CW_3,2,21.4
A,A_CW_3,3,25.8
A,A_CW_3,4,5
A,A_CW_3,5,36.5
A,A_CW_3,6,5
A,A_CW_3,7,64
A,A_CW_3,8,19.7
A,A_CW_3,9,120
A,A_CW_3,10,30.5
A,A_CW_3,11,18.8
A,A_CW_3,12,8
A,A_CW_3,13,20
A,A_CW_3,14,5
A,A_CW_3,15,8
A,A_CW_3,16,20
A,A_CW_3,17,20
A,A_CW_3,18,20
A,A_CW_3,19,20
D,D_CW_1,1,240
D,D_CW_1,2,21.4
D,D_CW_1,3,25.8
D,D_CW_1,4,5
D,D_CW_1,5,36.5
D,D_CW_1,6,5
D,D_CW_1,7,52.3
D,D_CW_1,8,19.7
D,D_CW_1,9,120
D,D_CW_1,10,30.5
D,D_CW_1,11,18.8
D,D_CW_1,12,8
D,D_CW_1,13,20
D,D_CW_1,14,5
D,D_CW_1,15,8
D,D_CW_1,16,20
D,D_CW_1,17,20
D,D_CW_1,18,20
D,D_CW_1,19,20
D,D_CW_2,1,240
D,D_CW_2,2,21.4
D,D_CW_2,3,25.8
D,D_CW_2,4,5
D,D_CW_2,5,36.5
D,D_CW_2,6,5
D,D_CW_2,7,52.3
D,D_CW_2,8,19.7
D,D_CW_2,9,120
D,D_CW_2,10,30.5
D,D_CW_2,11,18.8
D,D_CW_2,12,8
D,D_CW_2,13,20
D,D_CW_2,14,5
D,D_CW_2,15,8
D,D_CW_2,16,20
D,D_CW_2,17,20
D,D_CW_2,18,20
D,D_CW_2,19,20
D,D_CW_3,1,240
D,D_CW_3,2,21.4
D,D_CW_3,3,25.8
D,D_CW_3,4,5
D,D_CW_3,5,36.5
D,D_CW_3,6,5
D,D_CW_3,7,52.3
D,D_CW_3,8,19.7
D,D_CW_3,9,120
D,D_CW_3,10,30.5
D,D_CW_3,11,18.8
D,D_CW_3,12,8
D,D_CW_3,13,20
D,D_CW_3,14,5
D,D_CW_3,15,8
D,D_CW_3,16,20
D,D_CW_3,17,20
D,D_CW_3,18,21
D,D_CW_3,19,20
C,C_CW_1,1,240
C,C_CW_1,2,21.4
C,C_CW_1,3,25.8
C,C_CW_1,4,5
C,C_CW_1,5,36.5
C,C_CW_1,6,5
C,C_CW_1,7,52.3
C,C_CW_1,8,19.7
C,C_CW_1,9,120
C,C_CW_1,10,23.9
C,C_CW_1,11,18.8
C,C_CW_1,12,8
C,C_CW_1,13,20
C,C_CW_1,14,5
C,C_CW_1,15,8
C,C_CW_1,16,20
C,C_CW_1,17,20
C,C_CW_1,18,20
C,C_CW_1,19,20
C,C_CW_2,1,240
C,C_CW_2,2,21.4
C,C_CW_2,3,25.8
C,C_CW_2,4,5
C,C_CW_2,5,31
C,C_CW_2,6,5
C,C_CW_2,7,52.3
C,C_CW_2,8,19.7
C,C_CW_2,9,120
C,C_CW_2,10,23.9
C,C_CW_2,11,18.8
C,C_CW_2,12,8
C,C_CW_2,13,20
C,C_CW_2,14,5
C,C_CW_2,15,8
C,C_CW_2,16,20
C,C_CW_2,17,20
C,C_CW_2,18,20
C,C_CW_2,19,20
C,C_CW_3,1,240
C,C_CW_3,2,21.4
C,C_CW_3,3,25.8
C,C_CW_3,4,5
C,C_CW_3,5,31
C,C_CW_3,6,5
C,C_CW_3,7,52.3
C,C_CW_3,8,19.7
C,C_CW_3,9,120
C,C_CW_3,10,23.9
C,C_CW_3,11,18.8
C,C_CW_3,12,8
C,C_CW_3,13,20
C,C_CW_3,14,5
C,C_CW_3,15,8
C,C_CW_3,16,20
C,C_CW_3,17,20
C,C_CW_3,18,20
C,C_CW_3,19,20
B,B_CW_1,1,240
B,B_CW_1,2,14.4
B,B_CW_1,3,25.8
B,B_CW_1,4,5
B,B_CW_1,5,31
B,B_CW_1,6,5
B,B_CW_1,7,52.3
B,B_CW_1,8,19.7
B,B_CW_1,9,120
B,B_CW_1,10,23.9
B,B_CW_1,11,18.8
B,B_CW_1,12,8
B,B_CW_1,13,20
B,B_CW_1,14,5
B,B_CW_1,15,8
B,B_CW_1,16,20
B,B_CW_1,17,20
B,B_CW_1,18,20
B,B_CW_1,19,20
B,B_CW_2,1,240
B,B_CW_2,2,14.4
B,B_CW_2,3,25.8
B,B_CW_2,4,5
B,B_CW_2,5,31
B,B_CW_2,6,5
B,B_CW_2,7,52.3
B,B_CW_2,8,19.7
B,B_CW_2,9,120
B,B_CW_2,10,23.9
B,B_CW_2,11,18.8
B,B_CW_2,12,8
B,B_CW_2,13,20
B,B_CW_2,14,5
B,B_CW_2,15,8
B,B_CW_2,16,20
B,B_CW_2,17,20
B,B_CW_2,18,20
B,B_CW_2,19,20
B,B_CW_3,1,240
B,B_CW_3,2,14.4
B,B_CW_3,3,25.8
B,B_CW_3,4,5
B,B_CW_3,5,31
B,B_CW_3,6,5
B,B_CW_3,7,52.3
B,B_CW_3,8,19.7
B,B_CW_3,9,120
B,B_CW_3,10,23.9
B,B_CW_3,11,18.8
B,B_CW_3,12,8
B,B_CW_3,13,20
B,B_CW_3,14,5
B,B_CW_3,15,8
B,B_CW_3,16,20
B,B_CW_3,17,20
B,B_CW_3,18,20
B,B_CW_3,19,20
F,F_CW_1,1,240
F,F_CW_1,2,14.4
F,F_CW_1,3,25.8
F,F_CW_1,4,5
F,F_CW_1,5,31
F,F_CW_1,6,5
F,F_CW_1,7,52.3
F,F_CW_1,8,19.7
F,F_CW_1,9,120
F,F_CW_1,10,23.9
F,F_CW_1,11,18.8
F,F_CW_1,12,8
F,F_CW_1,13,20
F,F_CW_1,14,5
F,F_CW_1,15,8
F,F_CW_1,16,20
F,F_CW_1,17,20
F,F_CW_1,18,20
F,F_CW_1,19,20
F,F_CW_2,1,240
F,F_CW_2,2,14.4
F,F_CW_2,3,25.8
F,F_CW_2,4,5
F,F_CW_2,5,31
F,F_CW_2,6,5
F,F_CW_2,7,52.3
F,F_CW_2,8,19.7
F,F_CW_2,9,120
F,F_CW_2,10,23.9
F,F_CW_2,11,18.8
F,F_CW_2,12,8
F,F_CW_2,13,20
F,F_CW_2,14,5
F,F_CW_2,15,8
F,F_CW_2,16,20
F,F_CW_2,17,20
F,F_CW_2,18,20
F,F_CW_2,19,20
F,F_CW_3,1,240
F,F_CW_3,2,14.4
F,F_CW_3,3,25.8
F,F_CW_3,4,5
F,F_CW_3,5,31
F,F_CW_3,6,5
F,F_CW_3,7,52.3
F,F_CW_3,8,19.7
F,F_CW_3,9,120
F,F_CW_3,10,23.9
F,F_CW_3,11,18.8
F,F_CW_3,12,8
F,F_CW_3,13,20
F,F_CW_3,14,5
F,F_CW_3,15,8
F,F_CW_3,16,20
F,F_CW_3,17,20
F,F_CW_3,18,20
F,F_CW_3,19,20
G,G_CW_1,1,240
G,G_CW_1,2,14.4
G,G_CW_1,3,25.8
G,G_CW_1,4,5
G,G_CW_1,5,31
G,G_CW_1,6,5
G,G_CW_1,7,52.3
G,G_CW_1,8,19.7
G,G_CW_1,9,120
G,G_CW_1,10,23.9
G,G_CW_1,11,18.8
G,G_CW_1,12,8
G,G_CW_1,13,20
G,G_CW_1,14,5
G,G_CW_1,15,8
G,G_CW_1,16,20
G,G_CW_1,17,20
G,G_CW_1,18,20
G,G_CW_1,19,20
G,G_CW_2,1,240
G,G_CW_2,2,14.4
G,G_CW_2,3,25.8
G,G_CW_2,4,5
G,G_CW_2,5,31
G,G_CW_2,6,5
G,G_CW_2,7,52.3
G,G_CW_2,8,19.7
G,G_CW_2,9,120
G,G_CW_2,10,23.9
G,G_CW_2,11,18.8
G,G_CW_2,12,8
G,G_CW_2,13,20
G,G_CW_2,14,5
G,G_CW_2,15,8
G,G_CW_2,16,20
G,G_CW_2,17,20
G,G_CW_2,18,20
G,G_CW_2,19,20
G,G_CW_3,1,240
G,G_CW_3,2,14.4
G,G_CW_3,3,25.8
G,G_CW_3,4,5
G,G_CW_3,5,31
G,G_CW_3,6,5
G,G_CW_3,7,52.3
G,G_CW_3,8,19.7
G,G_CW_3,9,120
G,G_CW_3,10,23.9
G,G_CW_3,11,18.8
G,G_CW_3,12,8
G,G_CW_3,13,20
G,G_CW_3,14,5
G,G_CW_3,15,8
G,G_CW_3,16,20
G,G_CW_3,17,21
G,G_CW_3,18,20
G,G_CW_3,19,20
